deviceId,date,steps_sum,steps_max_5min,sensor_intervals,steps_observed,steps_coverage
br74,2021-03-07,0.0,0.0,98,5,0.05102040816326531
br74,2021-03-08,0.0,0.0,11,1,0.09090909090909091
br74,2021-03-09,0.0,0.0,17,3,0.17647058823529413
br74,2021-03-10,0.0,0.0,28,6,0.21428571428571427
br74,2021-03-11,0.0,0.0,21,3,0.14285714285714285
br74,2021-03-12,9.0,9.0,22,7,0.3181818181818182
br74,2021-03-13,0.0,0.0,28,2,0.07142857142857142
br74,2021-03-14,5.5,5.5,9,3,0.3333333333333333
br74,2021-03-15,0.0,0.0,30,9,0.3
br74,2021-03-16,0.0,0.0,37,11,0.2972972972972973
br74,2021-03-17,0.0,0.0,9,1,0.1111111111111111
br74,2021-03-18,5.0,5.0,13,1,0.07692307692307693
br74,2021-03-19,,,5,0,0.0
br74,2021-03-20,0.0,0.0,7,2,0.2857142857142857
br74,2021-03-21,0.0,0.0,8,1,0.125
br74,2021-03-22,12.0,12.0,18,2,0.1111111111111111
br74,2021-03-23,0.0,0.0,9,1,0.1111111111111111
br74,2021-03-24,,,6,0,0.0
br74,2021-03-25,40.75,40.75,10,1,0.1
br74,2021-03-26,1.2,1.2,8,3,0.375
br74,2021-03-27,,,6,0,0.0
br74,2021-03-28,0.0,0.0,1,1,1.0
br74,2021-03-29,7.5,7.5,26,5,0.19230769230769232
br74,2021-03-30,0.0,0.0,11,1,0.09090909090909091
br74,2021-03-31,0.0,0.0,18,4,0.2222222222222222
br74,2021-04-01,61.57142857142857,61.57142857142857,8,1,0.125
br74,2021-04-02,0.0,0.0,8,1,0.125
ca37,2021-03-08,,,4,0,0.0
ca37,2021-03-10,0.0,0.0,4,2,0.5
ca37,2021-03-11,0.0,0.0,11,3,0.2727272727272727
ca37,2021-03-12,0.0,0.0,9,3,0.3333333333333333
ca37,2021-03-14,0.0,0.0,2,1,0.5
ca37,2021-03-15,0.0,0.0,7,7,1.0
ca37,2021-03-16,,,3,0,0.0
ca37,2021-03-17,,,2,0,0.0
ca37,2021-03-18,467.0,467.0,4,2,0.5
ca37,2021-03-19,0.0,0.0,3,1,0.3333333333333333
ca37,2021-03-22,36.5,36.5,3,1,0.3333333333333333
ca37,2021-03-23,428.0,428.0,1,1,1.0
ca37,2021-03-24,,,2,0,0.0
ca37,2021-03-25,3.142857142857143,2.0,9,4,0.4444444444444444
ca37,2021-03-27,0.0,0.0,1,1,1.0
ca37,2021-03-28,0.0,0.0,3,1,0.3333333333333333
ca37,2021-03-30,0.0,0.0,1,1,1.0
ca37,2021-03-31,0.0,0.0,2,1,0.5
ca37,2021-04-01,0.0,0.0,2,2,1.0
ca37,2021-04-02,,,1,0,0.0
ca37,2021-04-03,,,1,0,0.0
ca37,2021-04-04,,,1,0,0.0
dk68,2021-03-05,,,8,0,0.0
dk68,2021-03-07,,,14,0,0.0
dk68,2021-03-08,,,1,0,0.0
dk68,2021-03-09,,,1,0,0.0
dk68,2021-03-10,,,1,0,0.0
dk68,2021-03-11,,,1,0,0.0
dk68,2021-03-12,,,6,0,0.0
dk68,2021-03-13,,,1,0,0.0
dk68,2021-03-14,38.0,38.0,15,1,0.06666666666666667
dk68,2021-03-17,177.4,177.4,5,1,0.2
dk68,2021-03-19,,,11,0,0.0
dk68,2021-03-22,,,1,0,0.0
dk68,2021-03-24,,,1,0,0.0
dk68,2021-03-25,,,5,0,0.0
dk68,2021-03-27,0.0,0.0,5,1,0.2
dk68,2021-03-28,,,30,0,0.0
dk68,2021-03-29,,,1,0,0.0
dk68,2021-03-31,,,2,0,0.0
dk68,2021-04-01,,,2,0,0.0
dk68,2021-04-02,,,13,0,0.0
dk68,2021-04-04,,,14,0,0.0
ea80,2021-03-04,,,5,0,0.0
ea80,2021-03-08,0.0,0.0,17,1,0.058823529411764705
ea80,2021-03-09,,,12,0,0.0
ea80,2021-03-10,0.0,0.0,42,3,0.07142857142857142
ea80,2021-03-11,,,5,0,0.0
ea80,2021-03-12,66.0,66.0,20,2,0.1
ea80,2021-03-13,0.0,0.0,12,2,0.16666666666666666
ea80,2021-03-14,,,3,0,0.0
ea80,2021-03-15,0.0,0.0,13,1,0.07692307692307693
ea80,2021-03-16,,,2,0,0.0
ea80,2021-03-17,,,5,0,0.0
ea80,2021-03-18,0.0,0.0,4,1,0.25
ea80,2021-03-19,0.0,0.0,13,2,0.15384615384615385
ea80,2021-03-20,,,9,0,0.0
ea80,2021-03-23,,,1,0,0.0
ea80,2021-03-24,,,1,0,0.0
ea80,2021-03-25,0.0,0.0,6,1,0.16666666666666666
ea80,2021-03-26,,,9,0,0.0
ea80,2021-03-27,12.0,12.0,33,3,0.09090909090909091
ea80,2021-03-28,,,2,0,0.0
ea80,2021-03-29,0.0,0.0,26,2,0.07692307692307693
ea80,2021-03-30,98.2,98.2,8,1,0.125
ea80,2021-03-31,,,6,0,0.0
ea80,2021-04-01,0.0,0.0,16,5,0.3125
ea80,2021-04-02,,,4,0,0.0
ea80,2021-04-03,0.0,0.0,14,2,0.14285714285714285
ej27,2021-03-05,,,1,0,0.0
ej27,2021-03-07,0.0,0.0,1,1,1.0
ej27,2021-03-08,107.99708308487378,45.5,70,50,0.7142857142857143
ej27,2021-03-09,26.101648351648354,12.428571428571429,35,28,0.8
ej27,2021-03-10,24.0,24.0,25,11,0.44
ej27,2021-03-11,17.0,17.0,22,10,0.45454545454545453
ej27,2021-03-12,3.9999999999999996,3.333333333333333,16,9,0.5625
ej27,2021-03-13,3.375,3.375,26,12,0.46153846153846156
ej27,2021-03-14,46.84328028293546,12.413793103448276,56,19,0.3392857142857143
ej27,2021-03-15,2.421052631578948,2.421052631578948,38,15,0.39473684210526316
ej27,2021-03-16,0.0,0.0,14,4,0.2857142857142857
ej27,2021-03-17,0.0,0.0,39,11,0.28205128205128205
ej27,2021-03-18,0.0,0.0,42,8,0.19047619047619047
ej27,2021-03-19,3.0,3.0,12,6,0.5
ej27,2021-03-20,3.1666666666666665,3.1666666666666665,40,8,0.2
ej27,2021-03-21,2.5,2.5,42,11,0.2619047619047619
ej27,2021-03-22,2.2,2.2,19,11,0.5789473684210527
ej27,2021-03-23,14.0,14.0,12,5,0.4166666666666667
ej27,2021-03-24,3.571428571428571,2.0,21,10,0.47619047619047616
ej27,2021-03-25,9.0,9.0,37,15,0.40540540540540543
ej27,2021-03-26,79.05833333333335,33.5,45,24,0.5333333333333333
ej27,2021-03-27,2.5,2.5,20,5,0.25
ej27,2021-03-28,17.5,12.5,32,12,0.375
ej27,2021-03-29,29.416666666666668,23.666666666666668,39,9,0.23076923076923078
ej27,2021-03-30,3.333333333333333,3.333333333333333,37,11,0.2972972972972973
ej27,2021-03-31,6.5,6.5,24,6,0.25
ej27,2021-04-01,29.446428571428573,27.375,43,18,0.4186046511627907
ej27,2021-04-02,4.8,4.8,43,22,0.5116279069767442
ej27,2021-04-03,39.5,29.0,22,14,0.6363636363636364
ej27,2021-04-04,0.0,0.0,4,2,0.5
ev76,2021-03-04,,,1,0,0.0
ev76,2021-03-08,0.0,0.0,29,10,0.3448275862068966
ev76,2021-03-09,52.55177445962523,45.5,15,5,0.3333333333333333
ev76,2021-03-10,25.33333333333333,25.33333333333333,16,10,0.625
ev76,2021-03-11,4.0,4.0,21,6,0.2857142857142857
ev76,2021-03-12,3.25,3.25,15,7,0.4666666666666667
ev76,2021-03-13,0.0,0.0,46,9,0.1956521739130435
ev76,2021-03-14,75.5952380952381,24.0,61,37,0.6065573770491803
ev76,2021-03-15,0.0,0.0,34,16,0.47058823529411764
ev76,2021-03-16,0.0,0.0,14,5,0.35714285714285715
ev76,2021-03-17,0.0,0.0,18,12,0.6666666666666666
ev76,2021-03-18,9.0,6.5,44,26,0.5909090909090909
ev76,2021-03-19,0.0,0.0,17,10,0.5882352941176471
ev76,2021-03-20,0.0,0.0,34,14,0.4117647058823529
ev76,2021-03-21,22.00119730138679,8.571428571428571,30,20,0.6666666666666666
ev76,2021-03-22,3.333333333333333,3.333333333333333,13,6,0.46153846153846156
ev76,2021-03-23,4.659318637274549,3.0,22,13,0.5909090909090909
ev76,2021-03-24,15.166666666666666,11.5,25,15,0.6
ev76,2021-03-25,0.0,0.0,5,1,0.2
ev76,2021-03-26,0.0,0.0,2,1,0.5
ev76,2021-03-27,13.666666666666666,6.5,34,15,0.4411764705882353
ev76,2021-03-28,8.266666666666667,4.666666666666667,14,7,0.5
ev76,2021-03-29,0.0,0.0,34,9,0.2647058823529412
ev76,2021-03-30,23.0,23.0,11,5,0.45454545454545453
ev76,2021-03-31,5.2,5.2,28,15,0.5357142857142857
ev76,2021-04-01,19.5,19.0,19,7,0.3684210526315789
ev76,2021-04-02,0.0,0.0,6,2,0.3333333333333333
ev76,2021-04-03,4.4,4.4,38,15,0.39473684210526316
ev76,2021-04-04,0.0,0.0,18,5,0.2777777777777778
ga64,2021-03-07,0.0,0.0,7,6,0.8571428571428571
ga64,2021-03-08,3.3333333333333335,2.5,27,20,0.7407407407407407
ga64,2021-03-09,24.71666666666667,8.666666666666666,43,24,0.5581395348837209
ga64,2021-03-10,0.0,0.0,9,3,0.3333333333333333
ga64,2021-03-11,12.0,12.0,34,15,0.4411764705882353
ga64,2021-03-12,5.25,5.25,22,16,0.7272727272727273
ga64,2021-03-13,0.0,0.0,9,5,0.5555555555555556
ga64,2021-03-14,24.78095238095238,11.0,39,29,0.7435897435897436
ga64,2021-03-15,0.0,0.0,36,17,0.4722222222222222
ga64,2021-03-16,0.0,0.0,11,6,0.5454545454545454
ga64,2021-03-17,,,17,0,0.0
ga64,2021-03-18,0.0,0.0,18,11,0.6111111111111112
ga64,2021-03-19,27.5,22.5,37,20,0.5405405405405406
ga64,2021-03-20,2.5,2.5,21,11,0.5238095238095238
ga64,2021-03-21,2.1666666666666665,2.1666666666666665,10,5,0.5
ga64,2021-03-22,18.333333333333332,14.0,19,8,0.42105263157894735
ga64,2021-03-23,0.0,0.0,12,10,0.8333333333333334
ga64,2021-03-24,9.291666666666666,2.6666666666666665,35,27,0.7714285714285715
ga64,2021-03-25,0.0,0.0,15,8,0.5333333333333333
ga64,2021-03-26,12.583333333333332,7.333333333333333,27,14,0.5185185185185185
ga64,2021-03-27,0.0,0.0,13,5,0.38461538461538464
ga64,2021-03-28,0.0,0.0,17,12,0.7058823529411765
ga64,2021-03-29,5.5,5.5,12,9,0.75
ga64,2021-03-30,14.166666666666666,14.166666666666666,6,4,0.6666666666666666
ga64,2021-03-31,0.0,0.0,28,25,0.8928571428571429
ga64,2021-04-01,0.0,0.0,14,10,0.7142857142857143
ga64,2021-04-02,10.5,10.5,38,26,0.6842105263157895
ga64,2021-04-03,0.0,0.0,34,22,0.6470588235294118
gd81,2021-03-05,,,42,0,0.0
gd81,2021-03-06,,,53,0,0.0
gd81,2021-03-07,0.0,0.0,17,2,0.11764705882352941
gd81,2021-03-08,2.75,2.75,46,10,0.21739130434782608
gd81,2021-03-09,0.0,0.0,37,11,0.2972972972972973
gd81,2021-03-10,0.0,0.0,36,12,0.3333333333333333
gd81,2021-03-11,13.285714285714285,10.0,35,18,0.5142857142857142
gd81,2021-03-12,0.0,0.0,54,14,0.25925925925925924
gd81,2021-03-13,4.333333333333333,4.333333333333333,38,5,0.13157894736842105
gd81,2021-03-14,4.333333333333333,4.333333333333333,86,13,0.1511627906976744
gd81,2021-03-15,0.0,0.0,46,19,0.41304347826086957
gd81,2021-03-16,3.0,3.0,36,9,0.25
gd81,2021-03-17,0.0,0.0,30,9,0.3
gd81,2021-03-18,0.0,0.0,37,15,0.40540540540540543
gd81,2021-03-19,5.0,5.0,48,26,0.5416666666666666
gd81,2021-03-20,0.0,0.0,56,11,0.19642857142857142
gd81,2021-03-21,6.0,6.0,60,19,0.31666666666666665
gd81,2021-03-22,0.0,0.0,19,5,0.2631578947368421
gd81,2021-03-23,0.0,0.0,39,15,0.38461538461538464
gd81,2021-03-24,0.0,0.0,18,2,0.1111111111111111
gd81,2021-03-25,0.0,0.0,38,13,0.34210526315789475
gd81,2021-03-26,18.0,18.0,30,5,0.16666666666666666
gd81,2021-03-27,0.0,0.0,58,8,0.13793103448275862
gd81,2021-03-28,0.0,0.0,49,3,0.061224489795918366
gd81,2021-03-29,0.0,0.0,50,16,0.32
gd81,2021-03-30,0.0,0.0,36,11,0.3055555555555556
gd81,2021-03-31,3.0,3.0,55,23,0.41818181818181815
gd81,2021-04-01,4.0,4.0,28,9,0.32142857142857145
gd81,2021-04-02,0.0,0.0,33,11,0.3333333333333333
gd81,2021-04-03,12.857142857142858,10.0,28,13,0.4642857142857143
gd81,2021-04-04,0.0,0.0,27,2,0.07407407407407407
gm49,2021-03-07,,,13,0,0.0
gm49,2021-03-09,,,22,0,0.0
gm49,2021-03-11,0.0,0.0,1,1,1.0
gm49,2021-03-12,0.0,0.0,36,2,0.05555555555555555
gm49,2021-03-13,,,10,0,0.0
gm49,2021-03-14,0.0,0.0,24,2,0.08333333333333333
gm49,2021-03-15,,,14,0,0.0
gm49,2021-03-16,,,9,0,0.0
gm49,2021-03-17,0.0,0.0,1,1,1.0
gm49,2021-03-18,,,2,0,0.0
gm49,2021-03-19,,,5,0,0.0
gm49,2021-03-20,,,2,0,0.0
gm49,2021-03-21,,,2,0,0.0
gm49,2021-03-22,0.0,0.0,7,1,0.14285714285714285
gm49,2021-03-23,,,12,0,0.0
gm49,2021-03-24,0.0,0.0,7,1,0.14285714285714285
gm49,2021-03-26,0.0,0.0,8,3,0.375
gm49,2021-03-27,0.0,0.0,3,1,0.3333333333333333
gm49,2021-03-29,,,11,0,0.0
gm49,2021-03-30,0.0,0.0,2,1,0.5
gm49,2021-04-01,0.0,0.0,8,1,0.125
gm49,2021-04-02,0.0,0.0,14,4,0.2857142857142857
gm49,2021-04-04,,,1,0,0.0
gw39,2021-03-05,,,24,0,0.0
gw39,2021-03-09,0.875,0.875,11,7,0.6363636363636364
gw39,2021-03-10,0.0,0.0,4,1,0.25
gw39,2021-03-11,0.0,0.0,6,5,0.8333333333333334
gw39,2021-03-12,0.0,0.0,16,6,0.375
gw39,2021-03-13,0.0,0.0,2,1,0.5
gw39,2021-03-14,65.43095238095239,16.5,22,12,0.5454545454545454
gw39,2021-03-15,0.0,0.0,1,1,1.0
gw39,2021-03-16,3.5972222222222223,3.5972222222222223,4,2,0.5
gw39,2021-03-17,3.0,3.0,2,1,0.5
gw39,2021-03-18,9.0,9.0,5,2,0.4
gw39,2021-03-19,0.0,0.0,25,11,0.44
gw39,2021-03-20,101.0,61.0,17,3,0.17647058823529413
gw39,2021-03-21,0.0,0.0,24,7,0.2916666666666667
gw39,2021-03-22,3.6666666666666665,3.6666666666666665,7,2,0.2857142857142857
gw39,2021-03-23,0.0,0.0,6,1,0.16666666666666666
gw39,2021-03-24,5.24,5.24,4,2,0.5
gw39,2021-03-25,0.0,0.0,2,2,1.0
gw39,2021-03-26,0.0,0.0,10,6,0.6
gw39,2021-03-27,0.0,0.0,14,5,0.35714285714285715
gw39,2021-03-28,0.0,0.0,4,2,0.5
gw39,2021-03-29,0.0,0.0,6,2,0.3333333333333333
gw39,2021-03-30,0.0,0.0,1,1,1.0
gw39,2021-03-31,0.0,0.0,2,1,0.5
gw39,2021-04-01,1.7142857142857142,1.7142857142857142,4,4,1.0
gw39,2021-04-02,0.0,0.0,5,1,0.2
gw39,2021-04-03,0.0,0.0,8,2,0.25
gw39,2021-04-04,0.0,0.0,4,1,0.25
gw57,2021-03-05,,,11,0,0.0
gw57,2021-03-07,20.0,20.0,1,1,1.0
gw57,2021-03-08,0.0,0.0,40,4,0.1
gw57,2021-03-09,,,20,0,0.0
gw57,2021-03-10,386.75,330.0,13,2,0.15384615384615385
gw57,2021-03-11,,,8,0,0.0
gw57,2021-03-12,,,9,0,0.0
gw57,2021-03-13,,,10,0,0.0
gw57,2021-03-14,,,15,0,0.0
gw57,2021-03-15,,,26,0,0.0
gw57,2021-03-16,,,11,0,0.0
gw57,2021-03-17,,,17,0,0.0
gw57,2021-03-18,,,10,0,0.0
gw57,2021-03-19,0.0,0.0,8,1,0.125
gw57,2021-03-20,,,20,0,0.0
gw57,2021-03-21,,,11,0,0.0
gw57,2021-03-22,0.0,0.0,15,2,0.13333333333333333
gw57,2021-03-23,,,6,0,0.0
gw57,2021-03-24,0.0,0.0,2,1,0.5
gw57,2021-03-25,,,11,0,0.0
gw57,2021-03-26,408.625,399.0,14,4,0.2857142857142857
gw57,2021-03-27,0.0,0.0,29,1,0.034482758620689655
gw57,2021-03-28,,,20,0,0.0
gw57,2021-03-29,,,4,0,0.0
gw57,2021-03-30,,,1,0,0.0
gw57,2021-03-31,,,6,0,0.0
gw57,2021-04-01,6.0,6.0,7,1,0.14285714285714285
gw57,2021-04-02,0.0,0.0,13,2,0.15384615384615385
gw57,2021-04-03,6.0,6.0,17,2,0.11764705882352941
gw57,2021-04-04,,,18,0,0.0
hk52,2021-03-05,,,8,0,0.0
hk52,2021-03-08,40.75,40.75,47,3,0.06382978723404255
hk52,2021-03-09,10.0,10.0,15,2,0.13333333333333333
hk52,2021-03-10,5.25,5.25,9,2,0.2222222222222222
hk52,2021-03-11,,,17,0,0.0
hk52,2021-03-12,0.0,0.0,14,1,0.07142857142857142
hk52,2021-03-13,0.0,0.0,5,1,0.2
hk52,2021-03-14,18.0,13.0,55,3,0.05454545454545454
hk52,2021-03-15,20.75,15.75,4,3,0.75
hk52,2021-03-16,0.0,0.0,26,4,0.15384615384615385
hk52,2021-03-17,5.0,5.0,52,4,0.07692307692307693
hk52,2021-03-18,,,8,0,0.0
hk52,2021-03-19,91.5,67.5,69,5,0.07246376811594203
hk52,2021-03-20,5.0,4.0,62,7,0.11290322580645161
hk52,2021-03-21,109.0,97.0,38,5,0.13157894736842105
hk52,2021-03-22,13.5,7.0,28,5,0.17857142857142858
hk52,2021-03-23,11.583333333333334,6.0,87,5,0.05747126436781609
hk52,2021-03-24,1.5,1.5,35,3,0.08571428571428572
hk52,2021-03-25,112.5,112.5,29,1,0.034482758620689655
hk52,2021-03-26,0.0,0.0,27,1,0.037037037037037035
hk52,2021-03-27,0.0,0.0,45,2,0.044444444444444446
hk52,2021-03-28,17.25,10.0,47,3,0.06382978723404255
hk52,2021-03-29,5.0,5.0,42,1,0.023809523809523808
hk52,2021-03-30,31.57142857142857,10.571428571428571,45,11,0.24444444444444444
hk52,2021-03-31,0.0,0.0,35,4,0.11428571428571428
hk52,2021-04-01,0.5,0.5,39,1,0.02564102564102564
hk52,2021-04-02,12.11111111111111,7.111111111111111,40,3,0.075
hk52,2021-04-03,10.833333333333332,5.833333333333333,44,5,0.11363636363636363
hk52,2021-04-04,0.0,0.0,38,5,0.13157894736842105
hp91,2021-03-04,,,178,0,0.0
hp91,2021-03-08,0.0,0.0,5,1,0.2
